datax,quantidade
2019-01-08,615
2018-12-18,540
2018-12-21,456
2018-12-11,450
2018-12-06,440
2019-07-01,408
2019-01-03,369
2019-02-01,359
2018-11-29,351
2018-12-20,333
2019-01-18,322
2019-01-04,318
2018-12-19,315
2019-07-10,310
2019-01-14,301
2019-01-10,292
2018-12-26,291
2019-01-17,283
2019-02-04,282
2019-03-01,282
2018-12-17,272
2019-03-21,270
2018-12-07,267
2018-12-27,257
2019-05-03,256
2019-03-20,255
2019-01-26,252
2019-03-06,248
2019-06-03,247
2019-03-15,246
2019-01-21,246
2019-05-02,244
2019-03-26,243
2018-11-23,242
2019-05-08,241
2019-06-13,239
2019-02-07,237
2019-01-09,237
2019-02-22,236
2019-02-21,236
2019-02-08,233
2019-06-26,229
2018-11-21,227
2019-01-29,224
2019-04-11,224
2019-02-12,223
2019-02-05,220
2019-01-16,220
2019-03-12,219
2019-04-10,218
2019-04-01,218
2019-05-23,218
2019-04-16,217
2018-11-22,216
2019-02-19,214
2019-01-15,211
2019-03-19,210
2019-05-16,210
2019-02-25,210
2019-01-25,209
2019-03-22,208
2019-03-18,207
2018-12-12,205
2018-11-27,204
2019-02-11,203
2019-01-24,200
2019-06-24,199
2019-06-06,199
2018-11-26,198
2019-02-15,198
2019-02-20,198
2019-03-23,196
2019-03-14,196
2019-05-09,195
2019-02-27,193
2019-05-21,191
2019-01-30,191
2019-02-14,190
2019-03-28,189
2019-04-12,189
2019-04-25,189
2019-03-11,186
2019-05-10,185
2019-04-03,184
2019-02-06,182
2019-04-05,180
2019-05-13,180
2019-05-14,177
2019-05-25,176
2019-04-17,169
2019-03-29,167
2018-12-10,167
2019-01-23,167
2019-02-26,167
2019-06-18,164
2019-04-09,164
2019-01-11,163
2018-11-28,163
2019-06-17,161
2019-06-04,158
2019-05-28,157
2019-01-22,157
2019-01-27,157
2019-05-17,156
2019-04-23,156
2019-03-27,156
2019-04-02,155
2019-04-26,154
2019-04-04,152
2019-04-18,151
2019-02-13,149
2019-03-08,147
2019-05-07,147
2019-06-07,142
2019-02-18,140
2019-05-20,136
2019-03-07,135
2018-12-28,134
2019-05-22,131
2019-06-01,129
2019-05-24,129
2019-07-04,128
2019-06-11,127
2019-05-29,126
2018-12-13,126
2018-12-14,122
2019-04-20,121
2019-04-13,116
2019-06-08,113
2019-03-13,110
2019-06-27,109
2019-05-15,109
2019-06-05,109
2019-02-16,108
2019-04-27,103
2019-05-30,102
2019-06-28,102
2019-04-22,92
2019-06-12,91
2019-01-07,87
2019-01-31,86
2019-03-09,86
2019-04-24,82
2018-12-03,77
2019-02-02,75
2019-06-21,72
2019-06-14,72
2019-07-02,70
2019-06-19,69
2018-12-05,69
2019-03-25,67
2019-05-04,66
2018-12-04,65
2019-07-03,62
2019-03-30,52
2019-04-29,51
2019-04-08,44
2019-06-25,44
2019-04-30,39
2019-02-28,32
2018-12-29,30
2018-11-19,25
2019-04-15,22
2019-06-10,18
2019-04-28,18
2019-05-27,15
2019-07-05,12
2019-05-06,11
2019-05-31,7
2018-01-03,2
